,sex,farminc,age,annhrs,annlabinc,degree,labincbus,yrsexp,yrsftexp,yrsptexp,hrwage,race,region,job
174,male,0.0,63,828,7471.0,no_college,0,36.0,34.8474388122559,1.15256118774414,9.02294731140137,black,south,protective
175,male,0.0,31,2088,45000.0,no_college,0,7.0,7.0,0.0,21.5517234802246,white,south,protective
176,male,0.0,31,888,9000.0,no_college,0,7.0,6.0,1.0,10.1351346969604,black,south,constructextractinstall
177,male,0.0,28,780,41500.0,no_college,650,8.0,3.0,5.0,53.2051277160645,white,west,officeadmin
178,male,0.0,32,660,10000.0,bachelors,0,2.0,1.0,1.0,15.151515007019,white,south,manager
179,male,0.0,30,2550,55600.0,no_college,0,11.0,10.0,1.0,21.8039207458496,white,northcentral,officeadmin
180,male,0.0,43,2304,62000.0,bachelors,0,24.0,19.0,5.0,26.9097213745117,white,northcentral,business
181,male,0.0,40,3000,21300.0,no_college,0,22.0,22.0,0.0,7.09999990463257,white,northeast,production
182,male,0.0,57,2080,50000.0,no_college,0,39.0,39.0,0.0,24.0384616851807,white,northcentral,scientist
183,male,0.0,38,2268,33000.0,bachelors,0,20.0,20.0,0.0,14.5502643585205,black,south,scientist
184,male,0.0,45,1880,52000.0,no_college,0,26.0,26.0,0.0,27.659574508667,black,south,constructextractinstall
185,male,0.0,44,2044,39000.0,no_college,0,23.0,23.0,0.0,19.0802345275879,black,northcentral,building
186,male,0.0,44,2056,18250.0,no_college,0,26.0,25.0,1.0,8.8764591217041,white,northcentral,officeadmin
187,male,0.0,51,1907,47000.0,no_college,0,32.0,27.0,5.0,24.6460399627686,white,west,constructextractinstall
188,male,0.0,45,2010,45300.0,no_college,0,26.0,26.0,0.0,22.5373134613037,black,northeast,protective
189,male,0.0,59,1560,22000.0,no_college,0,41.0,36.0,5.0,14.1025638580322,white,northeast,constructextractinstall
190,male,0.0,29,708,4779.0,no_college,0,11.0,11.0,0.0,6.75,white,south,transport
191,male,0.0,37,2080,13100.0,no_college,0,19.0,19.0,0.0,6.29807710647583,black,south,production
192,male,0.0,26,2632,33000.0,bachelors,0,6.0,4.0,2.0,12.5379943847656,white,south,officeadmin
193,male,0.0,25,1020,25000.0,no_college,0,7.0,5.0,2.0,24.5098037719727,black,south,healthsupport
194,male,0.0,54,1984,22600.0,no_college,0,25.0,17.0,8.0,11.3911294937134,black,northcentral,production
195,male,0.0,53,1944,60000.0,no_college,0,29.0,28.0,1.0,30.8641967773438,white,west,computer
196,male,0.0,29,5100,18000.0,no_college,0,11.0,11.0,0.0,3.52941179275513,white,south,transport
197,male,0.0,26,2650,33000.0,no_college,0,7.0,7.0,0.0,12.4528303146362,black,south,manager
198,male,0.0,36,3310,27000.0,no_college,0,17.0,17.0,0.0,8.15709972381592,black,south,manager
199,male,0.0,44,1920,38844.0,no_college,0,19.0,16.0,3.0,20.2312507629395,white,south,constructextractinstall
200,male,0.0,34,1584,14000.0,no_college,0,8.0,7.0,1.0,8.83838367462158,white,northcentral,officeadmin
201,male,0.0,49,2080,8000.0,no_college,0,30.0,25.0,5.0,3.8461537361145,black,south,na
202,male,0.0,26,2206,33000.0,bachelors,0,8.0,3.0,5.0,14.9592018127441,white,northeast,artist
203,male,0.0,26,504,5000.0,bachelors,0,7.0,1.0,6.0,9.92063522338867,white,south,socialworker
204,male,0.0,46,2000,92000.0,no_college,0,23.0,22.0,1.0,46.0,white,northcentral,sales
205,male,0.0,57,2064,24000.0,no_college,0,35.0,31.0,4.0,11.6279067993164,white,northcentral,manager
206,male,0.0,48,2256,23000.0,no_college,0,21.0,16.0,5.0,10.1950359344482,white,northcentral,production
207,male,0.0,45,3120,34000.0,no_college,0,24.0,23.0,1.0,10.8974361419678,white,south,constructextractinstall
208,male,0.0,37,2210,17000.0,no_college,0,18.0,18.0,0.0,7.692307472229,black,south,transport
209,male,0.0,39,2805,24000.0,bachelors,0,20.0,20.0,0.0,8.55614948272705,black,northcentral,sales
210,male,0.0,48,1988,29000.0,no_college,0,27.0,4.0,23.0,14.5875253677368,white,northcentral,transport
211,male,0.0,26,2750,8000.0,no_college,0,8.0,8.0,0.0,2.90909099578857,white,south,na
212,male,0.0,28,1482,24000.0,bachelors,0,6.0,2.0,4.0,16.1943321228027,black,northcentral,legaleduc
213,male,0.0,53,2500,42000.0,no_college,0,34.0,34.0,0.0,16.7999992370605,black,northeast,manager
214,male,0.0,50,2585,115000.0,bachelors,0,29.0,29.0,0.0,44.4874267578125,white,south,manager
215,male,0.0,37,2044,18500.0,no_college,0,19.0,19.0,0.0,9.05088043212891,white,south,transport
216,male,0.0,39,1968,45000.0,no_college,0,9.0,9.0,0.0,22.8658542633057,white,northcentral,constructextractinstall
217,male,0.0,32,1922,25000.0,no_college,0,11.0,11.0,0.0,13.0072841644287,white,south,constructextractinstall
218,male,0.0,42,1840,17000.0,no_college,0,23.0,21.0,2.0,9.2391300201416,black,south,transport
219,male,0.0,40,1960,57000.0,no_college,0,18.0,14.0,4.0,29.0816326141357,white,northcentral,manager
220,male,0.0,38,1040,15000.0,bachelors,0,19.0,3.0,16.0,14.4230766296387,white,west,manager
221,male,0.0,38,2520,44000.0,no_college,0,17.0,17.0,0.0,17.4603176116943,black,south,transport
222,male,0.0,34,2100,16000.0,no_college,0,16.0,16.0,0.0,7.61904764175415,black,south,transport
223,male,0.0,32,2000,23000.0,no_college,0,10.0,2.0,8.0,11.5,black,west,sales
224,male,0.0,34,2860,9000.0,no_college,0,9.0,7.0,2.0,3.14685320854187,white,west,socialworker
225,male,0.0,55,2250,56000.0,no_college,0,32.0,31.0,1.0,24.8888893127441,white,west,officeadmin
226,male,0.0,53,3366,52000.0,no_college,0,35.0,35.0,0.0,15.4486036300659,black,south,na
227,male,0.0,31,2120,49700.0,no_college,0,12.0,12.0,0.0,23.443395614624,white,northeast,constructextractinstall
228,male,0.0,33,2040,36897.0,advanced_degree,0,10.0,3.0,7.0,18.0867652893066,white,south,healthcare
229,male,0.0,50,2400,115386.0,advanced_degree,0,17.0,15.0,2.0,48.0774993896484,white,northcentral,architect
230,male,0.0,40,1956,64000.0,bachelors,0,16.0,10.0,6.0,32.7198371887207,white,northeast,financialop
231,male,0.0,51,1500,22000.0,no_college,0,24.0,20.8952503204346,3.10474967956543,14.6666669845581,black,northcentral,transport
232,male,0.0,34,2000,15000.0,no_college,0,14.0,14.0,0.0,7.5,black,south,transport
233,male,0.0,43,2205,34000.0,no_college,0,24.0,24.0,0.0,15.4195013046265,black,south,sales
234,male,0.0,56,2550,27000.0,no_college,0,38.0,38.0,0.0,10.5882349014282,white,south,constructextractinstall
235,male,0.0,29,2110,125000.0,no_college,0,10.0,1.0,9.0,59.2417068481445,hisp,northcentral,healthcare
236,male,0.0,42,2450,56000.0,no_college,0,13.0,13.0,0.0,22.8571434020996,white,south,production
237,male,0.0,43,3060,59600.0,no_college,0,20.0,20.0,0.0,19.477123260498,white,northcentral,constructextractinstall
238,male,0.0,27,2850,30000.0,no_college,0,9.0,8.0,1.0,10.5263156890869,white,northeast,protective
239,male,0.0,50,2064,54252.0,advanced_degree,0,28.0,20.0,8.0,26.2848834991455,white,northcentral,lawyerphysician
240,male,0.0,37,1890,95000.0,no_college,0,13.0,12.0,1.0,50.2645492553711,white,south,sales
241,male,0.0,38,2550,71000.0,advanced_degree,0,14.0,13.0,1.0,27.8431377410889,white,south,business
242,male,0.0,40,2000,31000.0,no_college,0,16.0,16.0,0.0,15.5,white,south,manager
243,male,0.0,27,2223,26000.0,no_college,0,9.0,3.0,6.0,11.6959066390991,white,northcentral,officeadmin
244,male,0.0,47,3120,40500.0,no_college,0,28.0,27.0,1.0,12.9807691574097,white,south,constructextractinstall
245,male,0.0,26,2000,11000.0,no_college,0,8.0,8.0,0.0,5.5,black,south,officeadmin
246,male,0.0,45,2008,43000.0,bachelors,0,23.0,21.0,2.0,21.414342880249,black,northcentral,manager
247,male,0.0,28,1880,5875.0,no_college,0,10.0,7.0,3.0,3.125,white,south,transport
248,male,0.0,43,2040,29000.0,no_college,0,24.0,23.0,1.0,14.2156858444214,black,south,building
249,male,0.0,36,1960,36000.0,no_college,0,12.0,12.0,0.0,18.3673477172852,white,northcentral,production
250,male,0.0,43,2448,100000.0,no_college,0,18.0,18.0,0.0,40.8496742248535,white,south,production
251,male,0.0,47,2550,45000.0,bachelors,0,27.0,27.0,0.0,17.6470584869385,white,south,constructextractinstall
252,male,0.0,33,328,8530.0,no_college,1370,14.0,13.0,1.0,26.0060977935791,white,west,sales
253,male,0.0,52,2616,97000.0,advanced_degree,0,33.0,29.0,4.0,37.0795097351074,white,northeast,manager
254,male,0.0,28,2244,53000.0,bachelors,0,9.0,4.0,5.0,23.618537902832,white,northeast,protective
255,male,0.0,56,3060,120000.0,no_college,0,35.0,35.0,0.0,39.2156867980957,white,south,manager
256,male,0.0,59,1795,45000.0,no_college,0,34.0,31.0,3.0,25.069637298584,white,south,manager
257,male,0.0,32,2000,48000.0,no_college,0,11.0,10.0,1.0,24.0,white,northcentral,building
258,male,0.0,27,2080,14000.0,no_college,0,9.0,8.0,1.0,6.73076915740967,black,south,sales
259,male,0.0,51,2280,5760.0,no_college,0,33.0,32.0,1.0,2.52631568908691,black,south,production
260,male,0.0,51,1974,82000.0,advanced_degree,0,32.0,31.0,1.0,41.5400199890137,white,northeast,architect
261,male,0.0,33,2850,25600.0,bachelors,0,13.0,8.0,5.0,8.98245620727539,black,south,healthcare
262,male,0.0,35,2100,40000.0,no_college,0,12.0,12.0,0.0,19.0476188659668,white,south,transport
