sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,29,1675,26500.0,1.0,10.0,3.0,7.0,15.8208952,2,7,2
1,25,1368,6000.0,0.0,5.0,3.0,2.0,4.38596487,0,20,2
1,31,2259,50000.0,1.0,8.0,8.0,0.0,22.13368797,2,6,2
1,40,1584,29000.0,2.0,17.0,12.0,5.0,18.30808067,2,14,1
1,38,2120,21000.0,0.0,20.0,18.0,2.0,9.905660629,2,5,2
1,28,1896,44250.0,1.0,6.0,2.0,4.0,23.33860779,2,4,0
1,56,2032,20624.0,0.0,32.0,31.0,1.0,10.1496067,2,2,3
1,47,1739,38000.0,1.0,21.0,21.0,0.0,21.85163879,2,1,1
1,38,2550,53000.0,2.0,8.0,8.0,0.0,20.7843132,0,11,2
1,58,2100,30000.0,0.0,39.0,37.0,2.0,14.28571415,2,4,3
1,55,1896,26000.0,0.0,37.0,37.0,0.0,13.71308041,0,15,2
1,26,2688,24000.0,1.0,8.0,3.0,5.0,8.928571701,2,11,2
1,59,2088,35700.0,0.0,41.0,41.0,0.0,17.09770203,2,13,1
1,34,2180,60000.0,0.0,15.0,15.0,0.0,27.52293587,2,16,0
1,52,2500,40000.0,1.0,25.0,25.0,0.0,16.0,2,12,0
1,26,1943,27500.0,0.0,6.0,2.0,4.0,14.15337086,2,13,0
1,31,2827,37000.0,1.0,9.0,7.0,2.0,13.08807945,2,11,0
1,40,2040,40000.0,0.0,19.0,18.0,1.0,19.6078434,0,15,0
1,38,2400,26840.0,0.0,14.0,12.0,2.0,11.1833334,0,13,0
1,49,1728,14500.0,0.0,31.0,31.0,0.0,8.39120388,0,20,2
1,48,1360,19000.0,0.0,30.0,22.0,8.0,13.97058868,0,12,0
1,42,2250,11300.0,0.0,19.0,19.0,0.0,5.022222042,0,15,0
1,38,2585,45000.0,0.0,14.0,14.0,0.0,17.40812302,2,5,1
1,47,2080,64000.0,2.0,28.0,24.0,4.0,30.76922989,0,11,2
1,42,2400,17832.0,0.0,24.0,24.0,0.0,7.429999828,2,5,0
1,62,2156,11000.0,0.0,40.0,39.0,1.0,5.102040768,0,2,2
1,33,2080,41000.0,0.0,13.0,12.0,1.0,19.71153831,2,17,3
1,29,1929,29060.0,0.0,11.0,11.0,0.0,15.06480026,2,15,0
1,31,2048,40000.0,0.0,12.0,10.0,2.0,19.53125,2,5,1
1,27,1904,12000.0,0.0,6.0,3.0,3.0,6.302521229,2,5,1
1,45,2156,24000.0,1.0,24.0,21.0,3.0,11.13172531,2,7,3
